time,step,value
1732493867.4580941,140287,136.0
1732493868.5031512,140335,137.0
1732493875.2184908,140671,137.0
1732493875.857858,140703,137.0
1732493877.4590523,140783,137.0
1732493880.9747472,140959,137.0
1732493884.8132021,141151,137.0
1732493890.143151,141407,138.0
1732493895.8940468,141695,138.0
1732493897.8098664,141791,138.0
1732493901.005721,141951,138.0
1732493907.0757623,142255,138.0
1732493915.6095164,142671,139.0
1732493918.167784,142799,139.0
1732493924.8748987,143135,139.0
1732493931.4860263,143455,140.0
1732493937.240347,143743,140.0
1732493947.472749,144255,140.0
1732493949.7099297,144367,140.0
1732493966.2168455,145183,141.0
1732493966.8558056,145215,141.0
1732493970.0522504,145375,141.0
1732493972.1902356,145471,142.0
1732493980.8223479,145903,142.0
1732493987.528762,146239,142.0
1732493990.7231076,146399,142.0
1732493995.7408998,146639,143.0
1732493998.617155,146783,143.0
1732494008.8493218,147295,143.0
1732494013.8668554,147535,144.0
1732494015.4658458,147615,144.0
1732494029.2125475,148303,144.0
1732494030.172993,148351,144.0
1732494036.4691298,148655,145.0
1732494038.7066793,148767,145.0
1732494047.0195312,149183,145.0
1732494049.2575755,149295,145.0
1732494069.2903676,150287,146.0
1732494072.166464,150431,146.0
1732494074.2130213,150527,146.0
1732494077.496609,150687,147.0
1732494078.4555829,150735,147.0
1732494085.486625,151087,147.0
1732494089.0054085,151263,147.0
1732494092.5194798,151439,147.0
1732494096.2555676,151615,148.0
1732494096.5752954,151631,148.0
1732494097.5349252,151679,148.0
1732494105.2094252,152063,148.0
1732494107.126637,152159,148.0
1732494114.4801457,152527,148.0
1732494117.5739644,152671,149.0
1732494120.1328287,152799,149.0
1732494139.5796072,153759,150.0
1732494142.4566069,153903,150.0
1732494145.3334825,154047,150.0
1732494156.526319,154607,150.0
1732494165.3994474,155039,151.0
1732494166.3592253,155087,151.0
1732494179.0523958,155711,152.0
1732494186.7232878,156095,152.0
1732494207.4750597,157119,153.0
1732494221.0405076,157775,154.0
1732494232.7292395,158351,154.0
1732494234.3301392,158431,154.0
1732494234.6500454,158447,154.0
1732494235.2904258,158479,154.0
1732494239.7700908,158703,154.0
1732494243.5210228,158879,155.0
1732494251.142978,159247,155.0
1732494253.0701392,159343,155.0
1732494257.8706322,159583,155.0
1732494259.790133,159679,155.0
1732494262.8891773,159823,156.0
1732494270.5766265,160207,156.0
1732494276.0660655,160479,156.0
1732494283.1800807,160815,157.0
1732494295.353541,161423,157.0
1732494298.8733757,161599,157.0
