time,step,value
1732427295.5647974,852095,832.0
1732427298.2064846,852431,832.0
1732427300.1251404,852671,832.0
1732427315.2886508,854527,834.0
1732427331.4426327,856527,836.0
1732427343.889347,858079,837.0
1732427359.5843737,860015,839.0
1732427364.3517783,860575,840.0
1732427367.1141953,860927,840.0
1732427372.722637,861615,841.0
1732427376.2483833,862063,841.0
1732427387.4661891,863439,843.0
1732427394.6063714,864319,844.0
1732427404.008693,865487,845.0
1732427409.665762,866207,845.0
1732427436.4876428,869519,849.0
1732427449.945777,871199,850.0
1732427450.3231342,871247,850.0
1732427453.6746488,871647,851.0
1732427457.5628712,872143,851.0
1732427480.2955947,874959,854.0
1732427480.9234946,875039,854.0
1732427481.9344082,875167,854.0
1732427502.568326,877711,857.0
1732427509.2424197,878559,857.0
1732427512.9772658,879007,858.0
1732427522.906315,880191,859.0
1732427535.521256,881663,860.0
1732427536.015733,881695,861.0
1732427552.6081269,883679,862.0
1732427581.8413305,887023,866.0
1732427586.1751132,887551,866.0
1732427591.9873497,888207,867.0
1732427596.2221794,888719,867.0
1732427599.1715834,889039,868.0
1732427609.125283,890223,869.0
1732427611.0029337,890447,869.0
1732427612.0708454,890559,869.0
1732427622.4973145,891823,870.0
1732427645.8928368,894639,873.0
1732427650.229447,895151,874.0
1732427654.802871,895727,874.0
1732427672.9940805,897983,876.0
1732427677.8368545,898559,877.0
1732427703.5896773,901727,880.0
1732427706.6061115,902111,880.0
1732427711.4549499,902703,881.0
1732427712.2062137,902799,881.0
1732427733.1030061,905375,884.0
1732427734.9880679,905615,884.0
1732427739.264026,906159,884.0
1732427746.5149975,907055,885.0
1732427760.6550944,908799,887.0
1732427770.0115328,909967,888.0
1732427784.0071893,911695,890.0
1732427811.8935754,915167,893.0
1732427838.1088097,918399,896.0
1732427844.6343536,919199,897.0
1732427856.5982995,920671,899.0
1732427871.2828991,922511,900.0
1732427878.283463,923375,901.0
1732427882.151891,923839,902.0
1732427882.654075,923903,902.0
1732427887.9435637,924575,902.0
1732427892.0307345,925071,903.0
1732427895.4237475,925503,903.0
1732427897.6357875,925759,904.0
1732427899.5099578,925999,904.0
1732427900.7687733,926159,904.0
1732427911.4303436,927487,905.0
1732427929.3966577,929727,907.0
1732427931.509365,929967,908.0
